5,书香世家 1室1厅 东南,51万,"10,166元/平",书香世家,渝碚路,1室1厅,50.17平米,东南,精装,中楼层(共31层),2007年,0人关注,7个月以前发布,渝北区
6,龙湖品质小区 楼层视野开阔 户型方正,57万,"6,696元/平",龙湖颐天展图森镜,融汇半岛,3室2厅,85.13平米,西南,毛坯,31层,塔楼,1人关注,一年前发布,渝北区
7,业主全屋整装  近两年电器全新 彩云湖畔精装大两室,69.5万,"8,688元/平",金科云湖天都,彩云湖,2室1厅,80平米,南,精装,30层,2006年,1人关注,6个月以前发布,巴南区
8,央企次新小区，大三房，户型方正，业主安心卖,75万,"7,605元/平",桂语九里北区,西永,3室2厅,98.62平米,北,毛坯,中楼层(共31层),板楼,0人关注,一年前发布,渝北区
9,礼嘉天街旁， 住家安静 ，交通便利,157万,"15,859元/平",御璟湖山璟時北,礼嘉,3室2厅,99平米,东 南,精装,16层,板楼,3人关注,一年前发布,江北区
10,央企次新大盘+朝南朝中庭+精装三房保持好+安心卖,115万,"11,509元/平",保利观塘香榭,七公里,3室1厅,99.93平米,南,精装,33层,2022年,1人关注,3个月以前发布,沙坪坝
11,急售！谢家湾精装修一房 领包入住 临江,41万,"8,752元/平",丽水菁苑,大坪,1室1厅,46.85平米,南,精装,32层,2007年,0人关注,2个月以前发布,渝北区
12,江北次新小高层，精装修实得面积大，小区环境好,105万,"11,123元/平",凤凰湾繁华里,石马河,3室2厅,94.4平米,南,精装,中楼层(共18层),2016年,2人关注,1个月以前发布,巴南区
13,交通便利，次新房，南坪万达广场，位置优越，交通便利,28万,"8,361元/平",卓越天元,南坪,1室0厅,33.49平米,南,毛坯,中楼层(共14层),塔楼,1人关注,1个月以前发布,江北区
14,红旗河沟住宅跃层 适合刚需过渡 轻轨 商圈 近在咫尺,44万,"13,750元/平",帝豪丽都,嘉州,1室1厅,32平米,南,精装,高楼层(共19层),塔楼,1人关注,1个月以前发布,巴南区
15,江北海尔路 国企次新小区 精装两室 拎包入住,58万,"7,884元/平",华融现代城,海尔路,2室2厅,73.57平米,东南,精装,高楼层(共31层),塔楼,2人关注,2个月以前发布,沙坪坝
16,次新小区，大露台，门口就是轻轨站，,68万,"6,602元/平",千江凌云凌云峰二期,李家沱,3室1厅,103平米,西南,毛坯,低楼层(共33层),2020年,0人关注,15天以前发布,沙坪坝
17,别墅小区，采光好，环境优美，交通便利,142万,"12,856元/平",鸿笙苑宝贝的墅,茶园新区,4室2厅,110.46平米,东南,毛坯,4层,板楼,4人关注,一年前发布,巴南区
18,品质小区，住家精装3室，环境好，住家舒适。,88万,"7,770元/平",华润澜山望汀澜,李家沱,3室2厅,113.27平米,东南,精装,32层,塔楼,0人关注,1个月以前发布,渝北区
19,品质开发商，优质物业，匠心打造，环境优美，出行方便,90万,"9,000元/平",水木年华(渝北),回兴,3室2厅,100平米,东南,精装,高楼层(共20层),2012年,1人关注,1个月以前发布,渝北区
20,礼嘉之巅，端户带一百平大花园，横厅双套房，四房三卫,285万,"15,760元/平",云麓台二组团,礼嘉,4室2厅,180.84平米,南,毛坯,低楼层(共5层),2023年,10人关注,7个月以前发布,江北区
21,金科公园城精装高层，装修花了30万,68.5万,"6,463元/平",金科中央公园城（江津）,滨江新城,3室2厅,106平米,南,精装,高楼层(共25层),板楼,3人关注,8个月以前发布,江北区
22,北滨路 北国风光 奶油风格 全新两房 诚心出售,64万,"10,541元/平",北国风光,北滨路,2室1厅,60.72平米,北,精装,高楼层(共33层),2008年,4人关注,2个月以前发布,巴南区
23,南滨路看两江交汇 历史成交186的房子 现在急卖,115万,"11,359元/平",阳光100国际新城,南滨路,2室2厅,101.25平米,西南,毛坯,32层,2007年,0人关注,7个月以前发布,渝北区
24,出大门200米就是轻轨站，龙湖物业，小区环境好,52万,"6,843元/平",嘉悦江庭,悦来,2室1厅,76平米,东南,毛坯,低楼层(共22层),塔楼,3人关注,一年前发布,沙坪坝
25,此房配套成熟，南北通风，交通便利，格局好,30.8万,"2,611元/平",东方之骄,老城片区,3室2厅,118平米,南 西南,精装,中楼层(共8层),2005年,0人关注,1个月以前发布,沙坪坝
26,正规三房，出门农贸市场公交站，产权清晰，随时看房,32万,"3,942元/平",民主新村二期,李家沱,3室1厅,81.18平米,东南,精装,6层,暂无数据,1人关注,6个月以前发布,巴南区
27,楼龄新+视野好+环境美丽+配套成熟,106万,"6,996元/平",恒大雅苑,华岩,4室2厅,151.53平米,东南,精装,30层,2017年,0人关注,8个月以前发布,渝北区
28,文德旁融创品质小区精装拎包入住,70万,"7,955元/平",融创伊顿濠庭,茶园新区,2室1厅,88平米,东,精装,26层,2014年,1人关注,2个月以前发布,江北区
29,渝中区两路口桂花园新村，上四楼，带阳台一室一厅出售,28万,"5,207元/平",桂花园新村社区,两路口,1室1厅,53.78平米,北,毛坯,中楼层(共12层),2000年,12人关注,一年前发布,沙坪坝
编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,恒大三期 85平精装两居室 出售,38.8万,"4,816元/平",恒大金碧天下三期,双福新区,2室2厅,80.57平米,东,精装,低楼层(共32层),板塔结合,0人关注,1个月以前发布,沙坪坝
1,渝中区石油路医学院 正规三房 可拎包入住  一梯两户,88万,"7,839元/平",医学院路小区,大坪,3室2厅,112.27平米,东南,简装,中楼层(共5层),暂无数据,0人关注,1个月以前发布,巴南区
2,恒大城洋房4房 出行方便 户型方正 装修保持好 诚心卖,110万,"8,209元/平",恒大城二期,李家沱,4室2厅,134平米,南,精装,11层,2010年,2人关注,4个月以前发布,巴南区
3,华侨城央企品牌 精装两房户型 居家安静 配套成熟,108万,"15,212元/平",华侨城天际湾A区,礼嘉,2室1厅,71平米,东南,精装,高楼层(共33层),2016年,1人关注,一年前发布,沙坪坝
4,鸿恩寺保利精装三房，业主诚心出售，实用性强住家安静,115万,"11,305元/平",保利江上明珠畅园,鸿恩寺,3室1厅,101.73平米,东南,精装,26层,2014年,0人关注,2个月以前发布,江北区
5,书香世家 1室1厅 东南,51万,"10,166元/平",书香世家,渝碚路,1室1厅,50.17平米,东南,精装,中楼层(共31层),2007年,0人关注,7个月以前发布,渝北区
6,龙湖品质小区 楼层视野开阔 户型方正,57万,"6,696元/平",龙湖颐天展图森镜,融汇半岛,3室2厅,85.13平米,西南,毛坯,31层,塔楼,1人关注,一年前发布,渝北区
7,业主全屋整装  近两年电器全新 彩云湖畔精装大两室,69.5万,"8,688元/平",金科云湖天都,彩云湖,2室1厅,80平米,南,精装,30层,2006年,1人关注,6个月以前发布,巴南区
8,央企次新小区，大三房，户型方正，业主安心卖,75万,"7,605元/平",桂语九里北区,西永,3室2厅,98.62平米,北,毛坯,中楼层(共31层),板楼,0人关注,一年前发布,渝北区
9,礼嘉天街旁， 住家安静 ，交通便利,157万,"15,859元/平",御璟湖山璟時北,礼嘉,3室2厅,99平米,东 南,精装,16层,板楼,3人关注,一年前发布,江北区
10,央企次新大盘+朝南朝中庭+精装三房保持好+安心卖,115万,"11,509元/平",保利观塘香榭,七公里,3室1厅,99.93平米,南,精装,33层,2022年,1人关注,3个月以前发布,沙坪坝
11,急售！谢家湾精装修一房 领包入住 临江,41万,"8,752元/平",丽水菁苑,大坪,1室1厅,46.85平米,南,精装,32层,2007年,0人关注,2个月以前发布,渝北区
12,江北次新小高层，精装修实得面积大，小区环境好,105万,"11,123元/平",凤凰湾繁华里,石马河,3室2厅,94.4平米,南,精装,中楼层(共18层),2016年,2人关注,1个月以前发布,巴南区
13,交通便利，次新房，南坪万达广场，位置优越，交通便利,28万,"8,361元/平",卓越天元,南坪,1室0厅,33.49平米,南,毛坯,中楼层(共14层),塔楼,1人关注,1个月以前发布,江北区
14,红旗河沟住宅跃层 适合刚需过渡 轻轨 商圈 近在咫尺,44万,"13,750元/平",帝豪丽都,嘉州,1室1厅,32平米,南,精装,高楼层(共19层),塔楼,1人关注,1个月以前发布,巴南区
15,江北海尔路 国企次新小区 精装两室 拎包入住,58万,"7,884元/平",华融现代城,海尔路,2室2厅,73.57平米,东南,精装,高楼层(共31层),塔楼,2人关注,2个月以前发布,沙坪坝
16,次新小区，大露台，门口就是轻轨站，,68万,"6,602元/平",千江凌云凌云峰二期,李家沱,3室1厅,103平米,西南,毛坯,低楼层(共33层),2020年,0人关注,15天以前发布,沙坪坝
17,别墅小区，采光好，环境优美，交通便利,142万,"12,856元/平",鸿笙苑宝贝的墅,茶园新区,4室2厅,110.46平米,东南,毛坯,4层,板楼,4人关注,一年前发布,巴南区
18,品质小区，住家精装3室，环境好，住家舒适。,88万,"7,770元/平",华润澜山望汀澜,李家沱,3室2厅,113.27平米,东南,精装,32层,塔楼,0人关注,1个月以前发布,渝北区
19,品质开发商，优质物业，匠心打造，环境优美，出行方便,90万,"9,000元/平",水木年华(渝北),回兴,3室2厅,100平米,东南,精装,高楼层(共20层),2012年,1人关注,1个月以前发布,渝北区
20,礼嘉之巅，端户带一百平大花园，横厅双套房，四房三卫,285万,"15,760元/平",云麓台二组团,礼嘉,4室2厅,180.84平米,南,毛坯,低楼层(共5层),2023年,10人关注,7个月以前发布,江北区
21,金科公园城精装高层，装修花了30万,68.5万,"6,463元/平",金科中央公园城（江津）,滨江新城,3室2厅,106平米,南,精装,高楼层(共25层),板楼,3人关注,8个月以前发布,江北区
22,北滨路 北国风光 奶油风格 全新两房 诚心出售,64万,"10,541元/平",北国风光,北滨路,2室1厅,60.72平米,北,精装,高楼层(共33层),2008年,4人关注,2个月以前发布,巴南区
23,南滨路看两江交汇 历史成交186的房子 现在急卖,115万,"11,359元/平",阳光100国际新城,南滨路,2室2厅,101.25平米,西南,毛坯,32层,2007年,0人关注,7个月以前发布,渝北区
24,出大门200米就是轻轨站，龙湖物业，小区环境好,52万,"6,843元/平",嘉悦江庭,悦来,2室1厅,76平米,东南,毛坯,低楼层(共22层),塔楼,3人关注,一年前发布,沙坪坝
25,此房配套成熟，南北通风，交通便利，格局好,30.8万,"2,611元/平",东方之骄,老城片区,3室2厅,118平米,南 西南,精装,中楼层(共8层),2005年,0人关注,1个月以前发布,沙坪坝
26,正规三房，出门农贸市场公交站，产权清晰，随时看房,32万,"3,942元/平",民主新村二期,李家沱,3室1厅,81.18平米,东南,精装,6层,暂无数据,1人关注,6个月以前发布,巴南区
27,楼龄新+视野好+环境美丽+配套成熟,106万,"6,996元/平",恒大雅苑,华岩,4室2厅,151.53平米,东南,精装,30层,2017年,0人关注,8个月以前发布,渝北区
28,文德旁融创品质小区精装拎包入住,70万,"7,955元/平",融创伊顿濠庭,茶园新区,2室1厅,88平米,东,精装,26层,2014年,1人关注,2个月以前发布,江北区
29,渝中区两路口桂花园新村，上四楼，带阳台一室一厅出售,28万,"5,207元/平",桂花园新村社区,两路口,1室1厅,53.78平米,北,毛坯,中楼层(共12层),2000年,12人关注,一年前发布,沙坪坝
30,融创金奕时代  次新小区  三房双卫    楼下就是步行街,74万,"7,440元/平",融创金弈时代,李家沱,3室2厅,99.47平米,东,毛坯,高楼层(共26层),板塔结合,0人关注,8个月以前发布,巴南区
31,龙湖联排别墅 前后花园带屋顶花园 两个车位  近科巴,320万,"19,303元/平",龙湖U城听蓝湾二期,大学城,4室2厅,165.78平米,南,毛坯,3层,2016年,0人关注,9个月以前发布,渝北区
32,近地铁一号线陈家桥站，龙湖物业服务,116万,"9,427元/平",西永九号一组团,陈家桥,4室2厅,123.06平米,东南,毛坯,中楼层(共8层),板楼,1人关注,9个月以前发布,沙坪坝
33,楼层好 视野好 身处照母山 舒适宜居,116万,"12,748元/平",融创凡尔赛领馆Ⅰ,照母山,2室1厅,91平米,南,精装,中楼层(共33层),2014年,4人关注,一年前发布,沙坪坝
34,秀湖公园旁的改善户型，面积大，居住密度低，安静,55万,"4,203元/平",天湖花园,璧山,4室2厅,130.89平米,南,精装,中楼层(共7层),板塔结合,0人关注,23天以前发布,渝北区
35,标准一室一厅，看中庭，视野采光都很好！,49.9万,"9,854元/平",环山国际,回兴,1室1厅,50.64平米,东,精装,高楼层(共32层),2013年,1人关注,4个月以前发布,巴南区
36,杨家坪步行街旁，正规三房，户型方正，位置好,51万,"4,702元/平",团结路,杨家坪,3室1厅,108.47平米,南,简装,高楼层(共9层),板塔结合,5人关注,3个月以前发布,渝北区
37,房型方正，采光好，看房方便，总价低,47万,"4,235元/平",欣和佳苑,城南新区,3室2厅,111平米,东南,毛坯,中楼层(共6层),塔楼,0人关注,3个月以前发布,巴南区
38,不看万科不定房，万科精装3房，正看大中庭，朝东哦,92万,"9,718元/平",万科观承观峰三组团,蔡家,3室2厅,94.67平米,东,精装,高楼层(共18层),板塔结合,1人关注,一年前发布,巴南区
39,唐家院子轻轨洋房，户型好，住家安静，出行方便,210万,"13,839元/平",力帆枫樾,龙头寺,3室1厅,151.75平米,南,毛坯,中楼层(共7层),2012年,30人关注,一年前发布,江北区
40,通透户型，采光充足，开放式城市公园,80万,"8,854元/平",中交中央公园悦颂,中央公园,3室2厅,90.36平米,南,毛坯,低楼层(共24层),2018年,9人关注,一年前发布,渝北区
41,户型是正规两房 精装修 直接拎包入住,43万,"8,633元/平",蓝溪谷地,天星桥,2室1厅,49.81平米,东南,简装,31层,2006年,0人关注,9个月以前发布,江北区
42,成熟小区，配套齐全，出行方便， 小区环境安静适合..,132万,"8,300元/平",建设广场,杨家坪,4室2厅,159.04平米,东南,精装,28层,塔楼,2人关注,5个月以前发布,巴南区
43,装修9成新  有钥匙随时看房  近轻轨  视野好,33万,"6,771元/平",同景国际城U组团,茶园新区,2室0厅,48.74平米,东南,精装,中楼层(共29层),板楼,1人关注,7个月以前发布,江北区
44,南滨路 一梯一户 大平层 版式通透 横厅四房 大阳台,230万,"12,810元/平",皇冠国际,南滨路,4室2厅,179.55平米,西北,毛坯,33层,2016年,4人关注,5个月以前发布,江北区
45,锦园  东南朝向 精装修  拎包入住楼下轻轨 全款证在手,83万,"13,855元/平",招商花园城,龙头寺,2室2厅,59.91平米,东南,精装,中楼层(共32层),2012年,3人关注,3个月以前发布,巴南区
46,精装叠墅 端户 全实木 带地下室和花园,180万,"15,246元/平",珠江城长江府,李家沱,4室2厅,118.07平米,东南,精装,低楼层(共7层),板塔结合,3人关注,4个月以前发布,江北区
47,石桥铺 渝景新天地 大两室 业主诚心出售,55万,"7,045元/平",渝景新天地,石桥铺,2室1厅,78.07平米,南,简装,32层,2010年,1人关注,4个月以前发布,沙坪坝
48,万卷山正三房住家装修，中间楼层，采光好,44.5万,"5,236元/平",裕城万卷山,双福新区,3室1厅,85平米,南,精装,中楼层(共33层),塔楼,0人关注,27天以前发布,江北区
49,东海假日花园洋房业主装修拎包入住,93.8万,"6,415元/平",东海假日花园（洋房）,古镇片区,4室2厅,146.23平米,西南,精装,高楼层(共6层),2010年,3人关注,3个月以前发布,巴南区
50,小龙坎地铁站正规3房户型方正低楼层,56万,"5,255元/平",新民村,工人村,3室2厅,106.57平米,东,简装,中楼层(共7层),板楼,0人关注,31天以前发布,江北区
51,长安锦尚城 包税 3房住家精装 楼层视野好 朝中庭,63万,"7,543元/平",长安锦尚城,空港新城,2室2厅,83.53平米,东南,精装,高楼层(共33层),塔楼,1人关注,6个月以前发布,江北区
52,四房双卫 中间楼层 全新精装 新都汇旁,69.8万,"5,297元/平",金佳小区,回兴,4室2厅,131.79平米,南,精装,低楼层(共9层),板楼,1人关注,2个月以前发布,江北区
53,精装三房双位，交通便利，住家舒适,105万,"10,562元/平",鲁能领秀城4街区北区,茶园新区,3室1厅,99.42平米,西北,精装,24层,板塔结合,3人关注,2个月以前发布,巴南区
54,45平方露台，即将安电梯，区单价五千，业主安心出售的,82万,"6,457元/平",汇洋大厦,南坪,5室1厅,127平米,南,精装,9层,板楼,0人关注,1个月以前发布,沙坪坝
55,户型方正 采光充足通透 环境优美 空气好 出门湿地公园,57万,"4,914元/平",弘阳昕悦府观澜樾,璧山,3室2厅,116平米,南,毛坯,低楼层(共33层),板塔结合,0人关注,1个月以前发布,沙坪坝
56,万达广场旁 正规两房 次新小区 近轻轨 配套成熟,78万,"12,447元/平",富州新瑞汇,天星桥,2室1厅,62.67平米,东南,精装,高楼层(共26层),暂无数据,0人关注,1个月以前发布,渝北区
57,九公里轻轨站旁 住家三房诚心出售 拎包入住,60万,"6,344元/平",宏宁天成,李家沱,3室2厅,94.59平米,南,精装,高楼层(共33层),2007年,1人关注,一年前发布,渝北区
58,视野开阔，装修保持得好。业主诚心出售,122.9万,"16,322元/平",康桥融府,照母山,3室1厅,75.3平米,南,精装,中楼层(共33层),2017年,1人关注,4个月以前发布,巴南区
59,低总价好出租 随时看房 龙湖品质房,18万,"5,143元/平",龙湖天际,中央公园,1室0厅,35平米,东南,毛坯,高楼层(共27层),板楼,3人关注,2个月以前发布,巴南区
